Timestamp,Bid Close,Ask Close,sym,duration
2017.03.24D19:53:00.000000000,99.7109375,99.71875,US5YT=RR,4.672
2017.03.24D19:52:00.000000000,99.71875,99.7265625,US5YT=RR,4.672
2017.03.24D19:51:00.000000000,99.71875,99.7265625,US5YT=RR,4.672
2017.03.24D19:50:00.000000000,99.71875,99.7265625,US5YT=RR,4.672
2017.03.24D19:49:00.000000000,99.71875,99.7265625,US5YT=RR,4.672
2017.03.24D19:48:00.000000000,99.71875,99.7265625,US5YT=RR,4.672
2017.03.24D19:46:00.000000000,99.7109375,99.71875,US5YT=RR,4.672
2017.03.24D19:45:00.000000000,99.71875,99.7265625,US5YT=RR,4.672
2017.03.24D19:44:00.000000000,99.71875,99.734375,US5YT=RR,4.672
2017.03.24D19:42:00.000000000,99.71875,99.7265625,US5YT=RR,4.672
2017.03.24D19:40:00.000000000,99.71875,99.7265625,US5YT=RR,4.672
2017.03.24D19:39:00.000000000,99.7109375,99.71875,US5YT=RR,4.672
2017.03.24D19:38:00.000000000,99.7109375,99.7265625,US5YT=RR,4.672
2017.03.24D19:36:00.000000000,99.7109375,99.71875,US5YT=RR,4.672
2017.03.24D19:35:00.000000000,99.71875,99.7265625,US5YT=RR,4.672
2017.03.24D19:32:00.000000000,99.7109375,99.71875,US5YT=RR,4.672
2017.03.24D19:31:00.000000000,99.7109375,99.71875,US5YT=RR,4.672
2017.03.24D19:30:00.000000000,99.7265625,99.734375,US5YT=RR,4.672
2017.03.24D19:29:00.000000000,99.734375,99.7421875,US5YT=RR,4.672
2017.03.24D19:28:00.000000000,99.7265625,99.734375,US5YT=RR,4.672
2017.03.24D19:27:00.000000000,99.7265625,99.7421875,US5YT=RR,4.672
2017.03.24D19:22:00.000000000,99.7265625,99.734375,US5YT=RR,4.672
2017.03.24D19:18:00.000000000,99.71875,99.7265625,US5YT=RR,4.672
2017.03.24D19:15:00.000000000,99.7265625,99.734375,US5YT=RR,4.672
2017.03.24D19:14:00.000000000,99.71875,99.7265625,US5YT=RR,4.672
2017.03.24D19:10:00.000000000,99.7109375,99.71875,US5YT=RR,4.672
2017.03.24D19:06:00.000000000,99.7109375,99.71875,US5YT=RR,4.672
2017.03.24D19:04:00.000000000,99.71875,99.7265625,US5YT=RR,4.672
2017.03.24D19:02:00.000000000,99.734375,99.7421875,US5YT=RR,4.672
2017.03.24D19:01:00.000000000,99.734375,99.7421875,US5YT=RR,4.672
2017.03.24D19:00:00.000000000,99.734375,99.7421875,US5YT=RR,4.672
2017.03.24D18:59:00.000000000,99.734375,99.7421875,US5YT=RR,4.672
2017.03.24D18:58:00.000000000,99.734375,99.7421875,US5YT=RR,4.672
2017.03.24D18:53:00.000000000,99.7265625,99.734375,US5YT=RR,4.672
2017.03.24D18:52:00.000000000,99.7265625,99.734375,US5YT=RR,4.672
2017.03.24D18:49:00.000000000,99.71875,99.7265625,US5YT=RR,4.672
2017.03.24D18:47:00.000000000,99.7109375,99.71875,US5YT=RR,4.672
2017.03.24D18:46:00.000000000,99.7109375,99.71875,US5YT=RR,4.672
2017.03.24D18:44:00.000000000,99.71875,99.7265625,US5YT=RR,4.672
2017.03.24D18:42:00.000000000,99.71875,99.7265625,US5YT=RR,4.672
2017.03.24D18:41:00.000000000,99.7265625,99.734375,US5YT=RR,4.672
2017.03.24D18:40:00.000000000,99.7265625,99.734375,US5YT=RR,4.672
2017.03.24D18:38:00.000000000,99.7265625,99.734375,US5YT=RR,4.672
2017.03.24D18:37:00.000000000,99.7265625,99.734375,US5YT=RR,4.672
2017.03.24D18:36:00.000000000,99.7421875,99.75,US5YT=RR,4.672
2017.03.24D18:35:00.000000000,99.7265625,99.734375,US5YT=RR,4.672
2017.03.24D18:34:00.000000000,99.734375,99.7421875,US5YT=RR,4.672
2017.03.24D18:33:00.000000000,99.7265625,99.734375,US5YT=RR,4.672
2017.03.24D18:32:00.000000000,99.7265625,99.734375,US5YT=RR,4.672
2017.03.24D18:31:00.000000000,99.734375,99.7421875,US5YT=RR,4.672
2017.03.24D18:29:00.000000000,99.7265625,99.734375,US5YT=RR,4.672
2017.03.24D18:28:00.000000000,99.71875,99.7265625,US5YT=RR,4.672
2017.03.24D18:26:00.000000000,99.71875,99.7265625,US5YT=RR,4.672
2017.03.24D18:25:00.000000000,99.7265625,99.734375,US5YT=RR,4.672
2017.03.24D18:24:00.000000000,99.7265625,99.734375,US5YT=RR,4.672
2017.03.24D18:23:00.000000000,99.71875,99.7265625,US5YT=RR,4.672
2017.03.24D18:22:00.000000000,99.7265625,99.734375,US5YT=RR,4.672
2017.03.24D18:21:00.000000000,99.7265625,99.734375,US5YT=RR,4.672
2017.03.24D18:20:00.000000000,99.734375,99.7421875,US5YT=RR,4.672
2017.03.24D18:19:00.000000000,99.7265625,99.734375,US5YT=RR,4.672
2017.03.24D18:18:00.000000000,99.734375,99.7421875,US5YT=RR,4.672
2017.03.24D18:17:00.000000000,99.7265625,99.7421875,US5YT=RR,4.672
2017.03.24D18:16:00.000000000,99.7421875,99.75,US5YT=RR,4.672
2017.03.24D18:14:00.000000000,99.75,99.7578125,US5YT=RR,4.672
2017.03.24D18:13:00.000000000,99.75,99.7578125,US5YT=RR,4.672
2017.03.24D18:11:00.000000000,99.75,99.7578125,US5YT=RR,4.672
2017.03.24D18:10:00.000000000,99.75,99.7578125,US5YT=RR,4.672
2017.03.24D18:09:00.000000000,99.765625,99.7734375,US5YT=RR,4.672
2017.03.24D18:08:00.000000000,99.7578125,99.765625,US5YT=RR,4.672
2017.03.24D18:07:00.000000000,99.765625,99.7734375,US5YT=RR,4.672
2017.03.24D18:06:00.000000000,99.765625,99.7734375,US5YT=RR,4.672
2017.03.24D18:05:00.000000000,99.7578125,99.765625,US5YT=RR,4.672
2017.03.24D18:04:00.000000000,99.7578125,99.765625,US5YT=RR,4.672
2017.03.24D18:03:00.000000000,99.75,99.7578125,US5YT=RR,4.672
